underlying_symbol,quote_date,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size_1545,bid_1545,ask_size_1545,ask_1545,underlying_bid_1545,underlying_ask_1545,implied_underlying_price_1545,active_underlying_price_1545,implied_volatility_1545,delta_1545,gamma_1545,theta_1545,vega_1545,rho_1545,bid_size_eod,bid_eod,ask_size_eod,ask_eod,underlying_bid_eod,underlying_ask_eod,vwap,open_interest,delivery_code
SPY,2023-08-25,SPY,2023-08-25,340.000,C,0.0000,0.0000,0.0000,0.0000,0,37,100.7100,37,100.8600,440.7800,440.8000,0.0000,440.7900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,99.6700,37,100.2500,439.9400,439.9500,0.0000,125,
SPY,2023-08-25,SPY,2023-08-25,340.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,6397,0.0100,440.7800,440.8000,0.0000,440.7900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,141,0.0100,439.9400,439.9500,0.0000,3736,
SPY,2023-08-25,SPY,2023-08-25,345.000,C,0.0000,0.0000,0.0000,0.0000,0,37,95.7100,37,95.8600,440.7800,440.8000,0.0000,440.7900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,94.6700,37,95.2400,439.9400,439.9500,0.0000,48,
SPY,2023-08-25,SPY,2023-08-25,345.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,6817,0.0100,440.7800,440.8000,0.0000,440.7900,8.2621,-0.0006,0.0001,-0.0050,0.0001,0.0000,0,0.0000,141,0.0100,439.9400,439.9500,0.0000,1918,
SPY,2023-08-25,SPY,2023-08-25,350.000,C,87.9000,90.3700,87.9000,90.2600,12,37,90.7100,37,90.8600,440.7800,440.8000,0.0000,440.7900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,89.6700,37,90.4200,439.9400,439.9500,88.3025,79,
SPY,2023-08-25,SPY,2023-08-25,350.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,6898,0.0100,440.7800,440.8000,0.0000,440.7900,7.8083,-0.0006,0.0001,-0.0050,0.0001,0.0000,0,0.0000,1781,0.0100,439.9400,439.9500,0.0000,55183,
SPY,2023-08-25,SPY,2023-08-25,355.000,C,85.8300,85.8300,85.8300,85.8300,2,37,85.7100,37,85.8500,440.7800,440.8000,0.0000,440.7900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,84.8500,37,85.2500,439.9400,439.9500,85.8300,45,
SPY,2023-08-25,SPY,2023-08-25,355.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,6196,0.0100,440.7800,440.8000,0.0000,440.7900,7.3597,-0.0007,0.0001,-0.0050,0.0001,0.0000,0,0.0000,141,0.0100,439.9400,439.9500,0.0000,1653,
SPY,2023-08-25,SPY,2023-08-25,360.000,C,0.0000,0.0000,0.0000,0.0000,0,37,80.7000,37,80.8500,440.7800,440.8000,0.0000,440.7900,0.0000,0.9959,0.0004,0.0000,0.0005,0.0005,1,79.8600,37,80.4200,439.9400,439.9500,0.0000,49,
SPY,2023-08-25,SPY,2023-08-25,360.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,6693,0.0100,440.7800,440.8000,0.0000,440.7900,6.9158,-0.0007,0.0001,-0.0050,0.0001,0.0000,0,0.0000,141,0.0100,439.9400,439.9500,0.0000,3090,
SPY,2023-08-25,SPY,2023-08-25,365.000,C,0.0000,0.0000,0.0000,0.0000,0,37,75.7000,37,75.8500,440.7800,440.8000,0.0000,440.7900,0.0000,0.9957,0.0004,0.0000,0.0005,0.0005,1,74.8600,37,75.3700,439.9400,439.9500,0.0000,38,
SPY,2023-08-25,SPY,2023-08-25,365.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,7246,0.0100,440.7800,440.8000,0.0000,440.7900,6.4766,-0.0007,0.0001,-0.0050,0.0001,0.0000,0,0.0000,1301,0.0100,439.9400,439.9500,0.0000,77718,
SPY,2023-08-25,SPY,2023-08-25,370.000,C,0.0000,0.0000,0.0000,0.0000,0,37,70.7000,37,70.8500,440.7800,440.8000,0.0000,440.7900,0.0000,0.9954,0.0005,0.0000,0.0005,0.0005,1,69.8500,37,70.2600,439.9400,439.9500,0.0000,49,
SPY,2023-08-25,SPY,2023-08-25,370.000,P,0.0100,0.0100,0.0100,0.0100,22,0,0.0000,6799,0.0100,440.7800,440.8000,0.0000,440.7900,6.0416,-0.0008,0.0001,-0.0050,0.0001,0.0000,0,0.0000,141,0.0100,439.9400,439.9500,0.0100,2533,
SPY,2023-08-25,SPY,2023-08-25,371.000,C,0.0000,0.0000,0.0000,0.0000,0,37,69.7000,37,69.8500,440.7800,440.8000,0.0000,440.7900,0.0000,0.9953,0.0005,0.0000,0.0005,0.0005,1,68.6800,37,69.2600,439.9400,439.9500,0.0000,5,
SPY,2023-08-25,SPY,2023-08-25,371.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,7195,0.0100,440.7800,440.8000,0.0000,440.7900,5.9551,-0.0008,0.0001,-0.0050,0.0001,0.0000,0,0.0000,141,0.0100,439.9400,439.9500,0.0000,22,
SPY,2023-08-25,SPY,2023-08-25,372.000,C,0.0000,0.0000,0.0000,0.0000,0,37,68.7000,37,68.8500,440.7800,440.8000,0.0000,440.7900,0.0000,0.9953,0.0005,0.0000,0.0006,0.0005,1,67.8600,37,68.2600,439.9400,439.9500,0.0000,7,
SPY,2023-08-25,SPY,2023-08-25,372.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,7193,0.0100,440.7800,440.8000,0.0000,440.7900,5.8688,-0.0008,0.0001,-0.0050,0.0001,0.0000,0,0.0000,141,0.0100,439.9400,439.9500,0.0000,20,
SPY,2023-08-25,SPY,2023-08-25,373.000,C,0.0000,0.0000,0.0000,0.0000,0,37,67.7000,37,67.8500,440.7800,440.8000,0.0000,440.7900,0.0000,0.9952,0.0005,0.0000,0.0006,0.0005,1,66.6800,37,67.2600,439.9400,439.9500,0.0000,15,
SPY,2023-08-25,SPY,2023-08-25,373.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,7220,0.0100,440.7800,440.8000,0.0000,440.7900,5.7826,-0.0008,0.0001,-0.0050,0.0001,0.0000,0,0.0000,141,0.0100,439.9400,439.9500,0.0000,24,
SPY,2023-08-25,SPY,2023-08-25,374.000,C,0.0000,0.0000,0.0000,0.0000,0,37,66.7000,37,66.8500,440.7800,440.8000,0.0000,440.7900,0.0000,0.9951,0.0005,0.0000,0.0006,0.0005,1,65.6800,37,66.2600,439.9400,439.9500,0.0000,2,
SPY,2023-08-25,SPY,2023-08-25,374.000,P,0.0100,0.0100,0.0100,0.0100,2,0,0.0000,7026,0.0100,440.7800,440.8000,0.0000,440.7900,5.6966,-0.0008,0.0001,-0.0050,0.0001,0.0000,0,0.0000,122,0.0100,439.9400,439.9500,0.0100,118,
SPY,2023-08-25,SPY,2023-08-25,375.000,C,63.1500,63.1500,63.1500,63.1500,1,37,65.7000,37,65.8500,440.7800,440.8000,0.0000,440.7900,0.0000,0.9951,0.0005,0.0000,0.0006,0.0005,1,64.8600,37,65.2600,439.9400,439.9500,63.1500,65,
SPY,2023-08-25,SPY,2023-08-25,375.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,6539,0.0100,440.7800,440.8000,0.0000,440.7900,5.6107,-0.0009,0.0001,-0.0050,0.0001,0.0000,0,0.0000,141,0.0100,439.9400,439.9500,0.0000,3968,
SPY,2023-08-25,SPY,2023-08-25,376.000,C,0.0000,0.0000,0.0000,0.0000,0,37,64.7000,37,64.8500,440.7800,440.8000,0.0000,440.7900,0.0000,0.9950,0.0005,0.0000,0.0006,0.0005,1,63.8600,37,64.2600,439.9400,439.9500,0.0000,2,
SPY,2023-08-25,SPY,2023-08-25,376.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,7011,0.0100,440.7800,440.8000,0.0000,440.7900,5.5250,-0.0009,0.0001,-0.0050,0.0001,0.0000,0,0.0000,141,0.0100,439.9400,439.9500,0.0000,2,
SPY,2023-08-25,SPY,2023-08-25,377.000,C,0.0000,0.0000,0.0000,0.0000,0,37,63.7100,37,63.8500,440.7800,440.8000,0.0000,440.7900,0.0000,0.9949,0.0005,0.0000,0.0006,0.0005,1,62.8600,37,63.2600,439.9400,439.9500,0.0000,13,
SPY,2023-08-25,SPY,2023-08-25,377.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,7909,0.0100,440.7800,440.8000,0.0000,440.7900,5.4394,-0.0009,0.0001,-0.0050,0.0001,0.0000,0,0.0000,102,0.0100,439.9400,439.9500,0.0000,51,
SPY,2023-08-25,SPY,2023-08-25,378.000,C,0.0000,0.0000,0.0000,0.0000,0,37,62.7100,37,62.8600,440.7800,440.8000,0.0000,440.7900,0.0000,0.9949,0.0006,0.0000,0.0006,0.0005,1,61.6700,37,62.4200,439.9400,439.9500,0.0000,10,
SPY,2023-08-25,SPY,2023-08-25,378.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,8092,0.0100,440.7800,440.8000,0.0000,440.7900,5.3540,-0.0009,0.0001,-0.0050,0.0001,0.0000,0,0.0000,102,0.0100,439.9400,439.9500,0.0000,71,
SPY,2023-08-25,SPY,2023-08-25,379.000,C,60.0100,60.9600,60.0100,60.9600,17,37,61.7100,37,61.8600,440.7800,440.8000,0.0000,440.7900,0.0000,0.9939,0.0007,0.0000,0.0007,0.0005,1,60.8600,37,61.4400,439.9400,439.9500,60.1218,28,
SPY,2023-08-25,SPY,2023-08-25,379.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,7943,0.0100,440.7800,440.8000,0.0000,440.7900,5.2687,-0.0009,0.0001,-0.0050,0.0001,0.0000,0,0.0000,127,0.0100,439.9400,439.9500,0.0000,1061,
SPY,2023-08-25,SPY,2023-08-25,380.000,C,59.1900,61.0800,58.1000,61.0800,6,37,60.7100,37,60.8600,440.7800,440.8000,0.0000,440.7900,0.0000,0.9938,0.0007,0.0000,0.0007,0.0005,1,59.8500,37,60.4400,439.9400,439.9500,59.3233,40,
SPY,2023-08-25,SPY,2023-08-25,380.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,9854,0.0100,440.7800,440.8000,0.0000,440.7900,5.1835,-0.0009,0.0002,-0.0050,0.0001,0.0000,0,0.0000,2503,0.0100,439.9400,439.9500,0.0000,20053,
SPY,2023-08-25,SPY,2023-08-25,381.000,C,0.0000,0.0000,0.0000,0.0000,0,37,59.7100,37,59.8600,440.7800,440.8000,0.0000,440.7900,0.0000,0.9937,0.0007,0.0000,0.0007,0.0005,1,58.8500,37,59.4400,439.9400,439.9500,0.0000,19,
SPY,2023-08-25,SPY,2023-08-25,381.000,P,0.0100,0.0100,0.0100,0.0100,75,0,0.0000,7931,0.0100,440.7800,440.8000,0.0000,440.7900,5.0985,-0.0009,0.0002,-0.0050,0.0001,0.0000,0,0.0000,102,0.0100,439.9400,439.9500,0.0100,1193,
SPY,2023-08-25,SPY,2023-08-25,382.000,C,0.0000,0.0000,0.0000,0.0000,0,37,58.7100,37,58.8600,440.7800,440.8000,0.0000,440.7900,0.0000,0.9936,0.0007,0.0000,0.0007,0.0005,1,57.8500,37,58.4200,439.9400,439.9500,0.0000,23,
SPY,2023-08-25,SPY,2023-08-25,382.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,8146,0.0100,440.7800,440.8000,0.0000,440.7900,5.0136,-0.0009,0.0002,-0.0050,0.0001,0.0000,0,0.0000,127,0.0100,439.9400,439.9500,0.0000,345,
SPY,2023-08-25,SPY,2023-08-25,383.000,C,0.0000,0.0000,0.0000,0.0000,0,37,57.7100,37,57.8600,440.7800,440.8000,0.0000,440.7900,0.0000,0.9935,0.0007,0.0000,0.0007,0.0005,1,56.8500,37,57.3700,439.9400,439.9500,0.0000,20,
SPY,2023-08-25,SPY,2023-08-25,383.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,8100,0.0100,440.7800,440.8000,0.0000,440.7900,4.9288,-0.0010,0.0002,-0.0050,0.0001,0.0000,0,0.0000,127,0.0100,439.9400,439.9500,0.0000,228,
SPY,2023-08-25,SPY,2023-08-25,384.000,C,54.3500,54.3500,54.3500,54.3500,1,37,56.7100,37,56.8600,440.7800,440.8000,0.0000,440.7900,0.0000,0.9934,0.0008,0.0000,0.0008,0.0005,1,55.8500,37,56.3700,439.9400,439.9500,54.3500,24,
SPY,2023-08-25,SPY,2023-08-25,384.000,P,0.0100,0.0100,0.0100,0.0100,1,0,0.0000,8120,0.0100,440.7800,440.8000,0.0000,440.7900,4.8442,-0.0010,0.0002,-0.0050,0.0001,0.0000,0,0.0000,102,0.0100,439.9400,439.9500,0.0100,645,
SPY,2023-08-25,SPY,2023-08-25,385.000,C,54.2500,55.9100,54.2500,55.9100,21,37,55.7100,37,55.8600,440.7800,440.8000,0.0000,440.7900,0.0000,0.9933,0.0008,0.0000,0.0008,0.0005,1,54.8500,37,55.4400,439.9400,439.9500,54.3529,155,
SPY,2023-08-25,SPY,2023-08-25,385.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,7409,0.0100,440.7800,440.8000,0.0000,440.7900,4.7597,-0.0010,0.0002,-0.0050,0.0001,0.0000,0,0.0000,102,0.0100,439.9400,439.9500,0.0000,3422,
SPY,2023-08-25,SPY,2023-08-25,386.000,C,53.3100,53.3100,53.3100,53.3100,1,37,54.7100,37,54.8600,440.7800,440.8000,0.0000,440.7900,0.0000,0.9932,0.0008,0.0000,0.0008,0.0005,1,53.8500,37,54.3700,439.9400,439.9500,53.3100,37,
SPY,2023-08-25,SPY,2023-08-25,386.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,7862,0.0100,440.7800,440.8000,0.0000,440.7900,4.6753,-0.0010,0.0002,-0.0050,0.0001,0.0000,0,0.0000,127,0.0100,439.9400,439.9500,0.0000,187,
SPY,2023-08-25,SPY,2023-08-25,387.000,C,0.0000,0.0000,0.0000,0.0000,0,37,53.7100,37,53.8600,440.7800,440.8000,0.0000,440.7900,0.0000,0.9931,0.0008,0.0000,0.0008,0.0005,1,52.8500,37,53.4200,439.9400,439.9500,0.0000,30,
SPY,2023-08-25,SPY,2023-08-25,387.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,7989,0.0100,440.7800,440.8000,0.0000,440.7900,4.5910,-0.0010,0.0002,-0.0050,0.0001,0.0000,0,0.0000,127,0.0100,439.9400,439.9500,0.0000,149,
SPY,2023-08-25,SPY,2023-08-25,388.000,C,0.0000,0.0000,0.0000,0.0000,0,37,52.7100,37,52.8600,440.7800,440.8000,0.0000,440.7900,0.0000,0.9930,0.0009,0.0000,0.0008,0.0005,1,51.6700,37,52.2600,439.9400,439.9500,0.0000,34,
SPY,2023-08-25,SPY,2023-08-25,388.000,P,0.0100,0.0100,0.0100,0.0100,1,0,0.0000,8034,0.0100,440.7800,440.8000,0.0000,440.7900,4.5069,-0.0010,0.0002,-0.0050,0.0001,0.0000,0,0.0000,127,0.0100,439.9400,439.9500,0.0100,175,
SPY,2023-08-25,SPY,2023-08-25,389.000,C,0.0000,0.0000,0.0000,0.0000,0,37,51.7100,37,51.8600,440.7800,440.8000,0.0000,440.7900,0.0000,0.9928,0.0009,0.0000,0.0008,0.0005,1,50.6700,37,51.2600,439.9400,439.9500,0.0000,33,
SPY,2023-08-25,SPY,2023-08-25,389.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,8015,0.0100,440.7800,440.8000,0.0000,440.7900,4.4228,-0.0011,0.0002,-0.0050,0.0001,0.0000,0,0.0000,127,0.0100,439.9400,439.9500,0.0000,182,
SPY,2023-08-25,SPY,2023-08-25,390.000,C,47.2400,49.9400,47.2400,49.9400,9,37,50.7100,37,50.8600,440.7800,440.8000,0.0000,440.7900,0.0000,0.9927,0.0009,0.0000,0.0008,0.0005,1,49.6700,37,50.2600,439.9400,439.9500,47.6567,73,
SPY,2023-08-25,SPY,2023-08-25,390.000,P,0.0100,0.0100,0.0100,0.0100,3,0,0.0000,8277,0.0100,440.7800,440.8000,0.0000,440.7900,4.3389,-0.0011,0.0002,-0.0050,0.0001,0.0000,0,0.0000,166,0.0100,439.9400,439.9500,0.0100,4270,
SPY,2023-08-25,SPY,2023-08-25,391.000,C,49.5800,49.5800,49.5800,49.5800,1,37,49.7100,37,49.8700,440.7800,440.8000,0.0000,440.7900,0.0000,0.9926,0.0009,0.0000,0.0008,0.0005,1,48.6700,37,49.2600,439.9400,439.9500,49.5800,34,
SPY,2023-08-25,SPY,2023-08-25,391.000,P,0.0100,0.0100,0.0100,0.0100,1,0,0.0000,7919,0.0100,440.7800,440.8000,0.0000,440.7900,4.2551,-0.0011,0.0002,-0.0050,0.0001,0.0000,0,0.0000,127,0.0100,439.9400,439.9500,0.0100,173,
SPY,2023-08-25,SPY,2023-08-25,392.000,C,0.0000,0.0000,0.0000,0.0000,0,37,48.7100,37,48.8700,440.7800,440.8000,0.0000,440.7900,0.0000,0.9925,0.0010,0.0000,0.0008,0.0005,1,47.6700,37,48.2600,439.9400,439.9500,0.0000,29,
SPY,2023-08-25,SPY,2023-08-25,392.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,6872,0.0100,440.7800,440.8000,0.0000,440.7900,4.1714,-0.0011,0.0002,-0.0050,0.0002,0.0000,0,0.0000,112,0.0100,439.9400,439.9500,0.0000,1435,
SPY,2023-08-25,SPY,2023-08-25,393.000,C,46.3100,46.3100,46.3100,46.3100,1,37,47.7100,37,47.8700,440.7800,440.8000,0.0000,440.7900,0.0000,0.9923,0.0010,0.0000,0.0009,0.0005,1,46.8600,37,47.4200,439.9400,439.9500,46.3100,43,
SPY,2023-08-25,SPY,2023-08-25,393.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,7784,0.0100,440.7800,440.8000,0.0000,440.7900,4.0877,-0.0011,0.0002,-0.0050,0.0002,0.0000,0,0.0000,127,0.0100,439.9400,439.9500,0.0000,727,
SPY,2023-08-25,SPY,2023-08-25,394.000,C,0.0000,0.0000,0.0000,0.0000,0,37,46.7100,37,46.8700,440.7800,440.8000,0.0000,440.7900,0.0000,0.9922,0.0010,0.0000,0.0009,0.0005,1,45.6700,37,46.2600,439.9400,439.9500,0.0000,44,
SPY,2023-08-25,SPY,2023-08-25,394.000,P,0.0100,0.0100,0.0100,0.0100,6,0,0.0000,7779,0.0100,440.7800,440.8000,0.0000,440.7900,4.0042,-0.0012,0.0002,-0.0050,0.0002,0.0000,0,0.0000,102,0.0100,439.9400,439.9500,0.0100,685,
SPY,2023-08-25,SPY,2023-08-25,395.000,C,0.0000,0.0000,0.0000,0.0000,0,37,45.7100,37,45.8700,440.7800,440.8000,0.0000,440.7900,0.0000,0.9920,0.0011,0.0000,0.0009,0.0005,1,44.6700,37,45.2600,439.9400,439.9500,0.0000,106,
SPY,2023-08-25,SPY,2023-08-25,395.000,P,0.0100,0.0100,0.0100,0.0100,4,0,0.0000,8795,0.0100,440.7800,440.8000,0.0000,440.7900,3.9208,-0.0012,0.0002,-0.0050,0.0002,0.0000,0,0.0000,1421,0.0100,439.9400,439.9500,0.0100,41432,
SPY,2023-08-25,SPY,2023-08-25,396.000,C,0.0000,0.0000,0.0000,0.0000,0,37,44.7100,37,44.8700,440.7800,440.8000,0.0000,440.7900,0.0000,0.9919,0.0011,0.0000,0.0009,0.0005,1,43.8600,37,44.4200,439.9400,439.9500,0.0000,41,
SPY,2023-08-25,SPY,2023-08-25,396.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,8389,0.0100,440.7800,440.8000,0.0000,440.7900,3.8375,-0.0012,0.0003,-0.0050,0.0002,0.0000,0,0.0000,127,0.0100,439.9400,439.9500,0.0000,582,
